Ally Condie,Juntos,⭐️,Finished
Arturo Pérez-Reverte,El Maestro de Esgrima/ The Fencing Master,⭐️⭐️⭐️⭐️⭐️,Finished
Annabel Pitcher,My Sister Lives On the Mantelpiece,⭐️⭐️⭐️,Finished
Arthur Conan Doyle,Sherlock Holmes( Study in scarlet),⭐️⭐️⭐️⭐️⭐️,Finished
Arthur Conan Doyle,The Complete Sherlock Holmes (Vol 1),⭐️⭐️⭐️⭐️⭐️,Finished
Arthur Conan Doyle,The complete Sherlock Holmes (Vol 2),?,Reading
Andrea Frediani,Maratón,⭐️⭐️⭐️,Finished
Ana Frank,The diary of Ana Frank,⭐️⭐️⭐️⭐️⭐️,Finished
Aldous Huxley,Brave new world.,⭐️⭐️⭐️⭐️,Finished
Arthur Miller,The Crucibles,⭐️⭐️⭐️⭐️,Finished
Alyson Noel,Immortals: Evermore (1),⭐️⭐️⭐️,Finished
Alyson Noel,Immortals: Blue Moon (2),⭐️⭐️⭐️,Finished
Alyson Noel,Immortals: Dark Flame (4),⭐️⭐️,Finished
Alyson Noel,Immortals: Shadowland (3),⭐️⭐️⭐️,Finished
Alyson Noel,Immortals: Night Star (5),⭐️⭐️,Finished
Brian Weiss,"Muchas Vidas, Muchos Maestros",⭐️⭐️⭐️,Finished
Barbara A. Shapiro,The Art Forger,⭐️⭐️⭐️,Finished
Bram Stoker,Dracula,⭐️⭐️⭐️,Finished
Brothers Grimm,Rumpelstiltskin,?,Finished
Brian Weiss,Lazos de Amor,⭐️⭐️⭐️,Finished
Brothers Grimm,Hansel and Grethel,?,Finished
Brothers Grimm,Thumbling,?,Finished
Brothers Grimm,Rapunzel,?,Finished
C. D. Payne,Youth in Revolt ( book borrowed from jeffrey porter ),,Unfinished
Brothers Grimm,The Three Feathers ( childhood story),⭐️⭐️⭐️⭐️⭐️,Finished
Brothers Grimm,The Frog Prince,?,Finished
Chris Crutcher,Deadline,⭐️⭐️⭐️,Finished
Cielo Latini,Chubasco,⭐️⭐️⭐️⭐️,Finished
Cielo Latini,Abzurdah,⭐️⭐️⭐️⭐️⭐️,Finished
Charles Perrault,Little Red Riding Hood,?,Finished
Carlo Collodi,Pinocchio,⭐️⭐️⭐️⭐️⭐️,Finished
Chaim Potok,The chosen,⭐️⭐️⭐️⭐️⭐️,Finished
Brothers Grimm,The Story of the Youth Who Went Forth to Learn What Fear Was,⭐️⭐️⭐️⭐️,Finished
Clifford Irving,The hoax,⭐️⭐️⭐️⭐️,Finished
Courtney Miller Santo,Las raices del Olvido,⭐️⭐️,Finished
Daniel Silva,Gabriel Allon #1 The kill artist,⭐️⭐️⭐️⭐️,Finished
Dan Brown,The lost symbol,⭐️⭐️⭐️⭐️,Finished
Dan Brown,Angel & Demons,⭐️⭐️⭐️⭐️,Finished
Gayle Forman,"If i stay collection
-If I stay (#1)",⭐️⭐️,Finished
Danielle Vega,The Merciless 1,⭐️⭐️,Finished
Emilio Salgari,Los Tigres de Mompracem.,⭐️⭐️⭐️⭐️⭐️,Finished
Gayle Forman,If i stay collection:  Where She Went (#2),⭐️⭐️,Finished
Dawson,Servants of the storm,⭐️⭐️⭐️⭐️,Finished
Gabriel García Márquez,Cien años de Soledad,⭐️⭐️⭐️⭐️⭐️,Finished
Dirk Wittenborn,Fierce people,⭐️⭐️⭐️⭐️⭐️,Finished
Emilio Salgari,Los Piratas de Malaysia,⭐️⭐️⭐️⭐️⭐️,Finished
Daniel Silva,"Michael Osborne series:
- La marque de l’assassin/ The Mark of the Assassin (1/2)",?,Unfinished
Daniel Silva,Gabriel Allon #10 The Rembrandt Affair,⭐️⭐️⭐️⭐️⭐️,Finished
Daniel Silva,Gabriel Allon #11 Portrait of a Spy ,⭐️⭐️⭐️⭐️,Finished
George Orwell,1984,⭐️⭐️⭐️⭐️,Finished
Jane Austen,Pride and Prejudice,⭐️⭐️⭐️⭐️,Finished
Julien Neel,Lou! 6# L’âge de Cristal,⭐️⭐️⭐️,Finished
Isabella Allende,La isla bajo el mar,⭐️⭐️⭐️⭐️⭐️,Finished
Harper Lee,To Kill a Mockinbird,⭐️⭐️⭐️⭐️,Finished
Jane Austen,Sense & Sensibility,⭐️⭐️⭐️⭐️,Finished
George Orwell,Animal Farm,⭐️⭐️⭐️⭐️⭐️,Finished
Fitzgerald,The Great Gatsby,⭐️⭐️⭐️⭐️,Finished
Henrik Ibsen,A Dolls House (play),?,Finished
Hans Christian Andersen,The Emperor’s New Clothes,⭐️⭐️⭐️⭐️,Finished
Julien Neel,Lou! 5# Laser Ninja,⭐️⭐️⭐️⭐️⭐️,Finished
Isabella Allende,El Zorro,?,Finished
Julien Neel,Lou! 4# Idylles,⭐️⭐️⭐️⭐️⭐️,Finished
Keigo Higashino,The Devotion of Suspect X,⭐️⭐️⭐️⭐️,Finished
Kerstin Gier,Ruby Red trilogy,⭐️,Finished
J.K Rowling,Harry Potter and The Prisoner of Azkaban ( book 3),⭐️⭐️⭐️⭐️⭐️,Finished
J.K Rowling,Harry Potter and the Goblet of Fire (book 4),⭐️⭐️⭐️⭐️⭐️,Finished
John Elder Robison,Look Me in the Eye: My Life with Asperger's,⭐️⭐️⭐️⭐️⭐️,Finished
Kathryn Stockett,the help,⭐️⭐️⭐️⭐️⭐️,Finished
Jeff Stetson,Blood on the leaves,⭐️⭐️⭐️⭐️,Finished
J.K Rowling,Harry Potter and the Half Blood Prince (book 6),⭐️⭐️⭐️⭐️⭐️,Finished
J.K Rowling,Harry Potter and the sorcerers stone (book 1),⭐️⭐️⭐️⭐️⭐️,Finished
J.K Rowling,Harry Potter and the Order of the Phoenix (book 5),⭐️⭐️⭐️⭐️⭐️,Finished
J.K Rowling,Harry Potter and the Chamber of Secrets ( book 2),⭐️⭐️⭐️⭐️⭐️,Finished
J.K Rowling,Harry Potter and the Deathly Hallows (Book 7),⭐️⭐️⭐️⭐️⭐️,Finished
Jorge Isaacs,María,⭐️⭐️,Finished
Julien Neel,Lou! 3# Le cimetière des autobus,⭐️⭐️⭐️⭐️⭐️,Finished
J. R. R. Tolkien,El Hobbit/ The Hobbit,⭐️⭐️⭐️⭐️⭐️,Finished
J.M. Barrie,Peter Pan,⭐️⭐️⭐️,Finished
J. R. R. Tolkien,The Fellowship of the Ring,⭐️⭐️⭐️⭐️⭐️,Finished
John Steinbeck,Of Mice and Men,⭐️⭐️⭐️⭐️⭐️,Finished
J. R. R. Tolkien,The return of the King,⭐️⭐️⭐️⭐️⭐️,Finished
J. R. R. Tolkien,The Two Towers,⭐️⭐️⭐️⭐️,Finished
Julien Neel,Lou! 2# Mortebouse,⭐️⭐️⭐️⭐️⭐️,Finished
Khaled Hosseini,The Kite Runner,⭐️⭐️⭐️⭐️⭐️,Finished
Khaled Hosseini,A Thousand Splendid Suns,⭐️⭐️⭐️⭐️⭐️,Finished
Julien Neel,lou!1# Journal infime,⭐️⭐️⭐️⭐️⭐️,Finished
Ken Kesey,One Flew Over the Cuckoo’s Nest,⭐️⭐️⭐️⭐️⭐️,Finished
Kim Edwards,The Memory Keeper’s Daughter,⭐️⭐️,Finished
Lauren Oliver,Before I Fall,⭐️⭐️⭐️,Finished
Lawrence Sanders,The Fourth Deadly Sin,⭐️⭐️⭐️,Finished
Lewis Carroll,Trough the looking glass,⭐️⭐️⭐️,Finished
Lisa Klein,Ophelia,⭐️⭐️⭐️,Finished
Lewis Carroll,Alice’s adventures in wonderland,⭐️⭐️⭐️⭐️,Finished
Lois Lowry,The Giver-#1 The Giver,⭐️⭐️⭐️,Finished
Lois Lowry,The Giver #2-Gathering Blue/,⭐️⭐️⭐️,Finished
Lisa See,Snow Flower and the secret fan,⭐️⭐️⭐️⭐️,Finished
Lois Lowry,The Giver ##3 Messenger,⭐️⭐️⭐️,Finished
Lois Lowry,The Giver #4 Son,⭐️⭐️⭐️,Finished
Loung Ung,First they killed my father,⭐️⭐️⭐️⭐️⭐️,Finished
Louisa May Alcott,Little Women,⭐️⭐️⭐️,Finished
Malala Yousafzai,I am Malala,⭐️⭐️⭐️⭐️⭐️,Finished
Mark Haddon,The Curious Incident of the Dog in the Night-Time,⭐️⭐️⭐️,Finished
Margie Gelbwasser,Inconvenient,⭐️⭐️⭐️⭐️,Finished
Marc Villard,Les Doigts rouges (Childhood),⭐️⭐️⭐️⭐️,Finished
Mark Twain,The Adventures of Huckleberry Finn,⭐️⭐️⭐️⭐️,Finished
