Author,Title,Series?,Series Name
Albert Camus,L’étranger,NO,N/A
Albert Camus,The Plague,NO,N/A
Alexandre Dumas,The Three Musketeers (1),YES,The d'Artagnan Romances
Alice Walker,The Color Purple (1),YES,The Color Purple
Andrew Wheeler,Another Castle: Grimoire,YES,Another Castle
Andy Weir,The Martian,NO,N/A
Anthony Doerr,Cloud Cuckoo Land,NO,N/A
Arthur Golden,Memoirs of a Geisha,NO,N/A
Assassin's Creed,Locus (1),YES,Last Descendants
Assassin's Creed,Cross of war (2),YES,Templars
Assassin's Creed,Homecoming (3),YES,Homecoming
Assassin's Creed,Uprising (1),YES,Uprising
Assassin's Creed,Uprising: (2),YES,Uprising
Assassin's Creed,Reflections: 1,YES,Reflections
Assassin's Creed,Assasins creed- The Hawk Trilogy,YES,The Hawk Trilogy
Austen & Grahame-Smith,Pride and Prejudice and Zombies,NO,N/A
Aya Kanno,"Otomen (manga): 1-14, 16-18",YES,Otomen
Barack Obama,Dreams of my father,NO,N/A
BBC,The lost dimension (2),YES,Doctor Who
Becca Fitzpatrick,Hush Hush (1),YES,Hush Hush
Brad Ricca,Mrs. Sherlock Holmes,NO,N/A
Bret Easton Ellis,American Psycho,NO,N/A
C.N Crawford,City of Thorns (1),YES,The Demon Queen Trials 
C.S Lewis,Chronicles of Narnia 1-7,YES,Chronicles of Narnia
Charles Dickens,Oliver Twist,NO,N/A
Charles Dickens,A Tale of Two Cities,NO,N/A
Charles Dickens,Great Expectations,NO,N/A
Charlotte Bronte,Jane Eyre,NO,N/A
Cielo Latini,Adios,NO,N/A
Colin Meloy,Wildwood Imperium (3),YES,Wildwood Chronicles
Colleen Hoover,It Starts with US (2),YES,It Ends with Us
Dan Brown,Origin,NO,N/A
Dan Chaon,Ill Will,NO,N/A
Daniel Silva,The Unlikely Spy,NO,N/A
Daniel Silva,The Marching season (2),YES,Michael Osnourne
Dante Alighieri,The Inferno,YES,Divine Comedy
Diana Wynne Jones,Castle in the Air (2),YES,Howl’s Moving Castle
Dr. John Watson,The Sherlock Holmes Puzzle Collection,NO,N/A
Erin Morgenstern,The Starless Sea,NO,N/A
Frank Herbert,Dune (1),YES,Dune
Franz Kafka,The Trial,NO,N/A
Frederick Crews,Freud,NO,N/A
Gabriel Garcia Marquez,Love in the Time of Cholera,NO,N/A
Garth Stein,The Art of racing in the rain,NO,N/A
Geoffrey Chaucer,The Canterbury Tales,NO,N/A
George Saunders,A Swim in a Pond in the Rain,NO,N/A
Georgia Hunter,We were the lucky ones,NO,N/A
Geroge R.R Martin,"Game of Thrones: 1,3",YES,Game of Thrones
Grimm Brothers,The Complete Grimm's Fairy tales,NO,N/A
Harper Lee,Go set a Watchman (2),YES,To Kill a Mockingbird
Henry James,The Portrait of a lady,NO,N/A
Herman Melville,Moby Dick,NO,N/A
He's My Only Vampire,HMOV: #1-10,YES,He's My Only Vampire
Homer,Odyssey,NO,N/A
Imogen Robertson,Island of Bones (3),YES,Crowther and Westerman
Isabel Allende,Maya’s Notebook,NO,N/A
Isabel Allende,Paula,NO,N/A
J.K Rowling,The Casual Vacancy,NO,N/A
J.R.R Tolkien,Silmarillion,NO,N/A
James Dashner,The Kill Order (0.4),YES,The Maze Runner
James Dashner,The Scorch Trials (2),YES,The Maze Runner
James Dashner,The Fever Code (0.5),YES,The Maze Runner
